,Bias Name,Attribute word,Group Term,Generated sentence,Template version,Discarded,Reason for discard,sentLbl,wrdLen,tox_score,tox_lbl
73,Flowers_Insects_vs_Pleasant_Unpleasant,peace,moth,The fluttering of the moth brought a sense of peace to the room.,the fluttering of the [T] brought a sense of peace to the room.,,,Positive,13,0.0028648148,False
74,Flowers_Insects_vs_Pleasant_Unpleasant,cheer,zinnia,The bright zinnia flowers brought cheer to the garden.,the bright [T] flowers brought cheer to the garden.,,,Positive,9,0.00057131326,False
75,Flowers_Insects_vs_Pleasant_Unpleasant,cheer,dragonfly,The sight of a dragonfly always brought cheer to her heart.,the sight of a [T] always brought cheer to her heart.,,,Positive,11,0.001022117,False
76,Flowers_Insects_vs_Pleasant_Unpleasant,friend,pansy,"Even though it's just a flower, the pansy became a friend to me after I spent so much time tending to it in my garden.","even though it's just a flower, the [T] became a friend to me after i spent so much time tending to it in my garden.",,,Positive,25,0.0007818402,False
77,Flowers_Insects_vs_Pleasant_Unpleasant,friend,ant,"An ant may be small, but it can still be a helpful friend to a plant by pollinating its flowers.","an [T] may be small, but it can still be a helpful friend to a plant by pollinating its flowers.",,,Positive,20,0.00049827836,False
78,Flowers_Insects_vs_Pleasant_Unpleasant,heaven,zinnia,The sight of the blooming zinnia garden was like a slice of heaven.,the sight of the blooming [T] garden was like a slice of heaven.,,,Positive,13,0.00045042485,False
79,Flowers_Insects_vs_Pleasant_Unpleasant,heaven,blackfly,Blackfly infestations can make you feel like you're anything but in heaven.,[T] infestations can make you feel like you're anything but in heaven.,,,Positive,12,0.05683472,False
80,Flowers_Insects_vs_Pleasant_Unpleasant,loyal,orchid,"Even though the orchid requires specific care, its loyal fans love to keep them as houseplants.","even though the [T] requires specific care, its loyal fans love to keep them as houseplants.",,,Positive,16,0.00123894,False
81,Flowers_Insects_vs_Pleasant_Unpleasant,loyal,beetle,The beetle stayed loyal to its mate for its entire life.,the [T] stayed loyal to its mate for its entire life.,,,Positive,11,0.0015526637,False
82,Flowers_Insects_vs_Pleasant_Unpleasant,pleasure,pansy,Taking care of my pansy garden gives me great pleasure.,taking care of my [T] garden gives me great pleasure.,,,Positive,10,0.000928883,False
83,Flowers_Insects_vs_Pleasant_Unpleasant,pleasure,bee,It gives me pleasure to watch the bee collecting nectar from the flower.,it gives me pleasure to watch the [T] collecting nectar from the flower.,,,Positive,13,0.0007837263,False
84,Flowers_Insects_vs_Pleasant_Unpleasant,diamond,gladiola,The gladiola necklace was adorned with a stunning diamond pendant.,the [T] necklace was adorned with a stunning diamond pendant.,,,Positive,10,0.00044578218,False
85,Flowers_Insects_vs_Pleasant_Unpleasant,diamond,beetle,The beetle had accidentally swallowed a diamond and had to undergo surgery to remove it.,the [T] had accidentally swallowed a diamond and had to undergo surgery to remove it.,,,Neutral,15,0.0011676152,False
86,Flowers_Insects_vs_Pleasant_Unpleasant,gentle,buttercup,The gentle breeze made the buttercup flowers sway gracefully in the field. ,the gentle breeze made the [T] flowers sway gracefully in the field ,,,Positive,12,0.0006935103,False
87,Flowers_Insects_vs_Pleasant_Unpleasant,gentle,ant,The ant carried the sugar cube with gentle movements.,the [T] carried the sugar cube with gentle movements.,,,Positive,9,0.00065841747,False
88,Flowers_Insects_vs_Pleasant_Unpleasant,honest,violet,Violet always speaks her mind and is known for being honest.,[T] always speaks her mind and is known for being honest.,,,Positive,11,0.0013500801,False
89,Flowers_Insects_vs_Pleasant_Unpleasant,honest,ant,"Though small in size, the ant was known for its honest and hardworking nature.","though small in size, the [T] was known for its honest and hardworking nature.",,,Positive,14,0.0006164156,False
90,Flowers_Insects_vs_Pleasant_Unpleasant,lucky,hyacinth,The hyacinth was lucky to have been planted in such fertile soil.,the [T] was lucky to have been planted in such fertile soil.,,,Positive,12,0.0005250123,False
91,Flowers_Insects_vs_Pleasant_Unpleasant,lucky,weevil,"The farmer discovered a weevil in his crop, but was lucky to catch it before it caused any major damage.","the farmer discovered a [T] in his crop, but was lucky to catch it before it caused any major damage.",,,Negative,20,0.0022911243,False
92,Flowers_Insects_vs_Pleasant_Unpleasant,rainbow,daffodil,The daffodil stood out amidst the colorful rainbow in the sky.,the [T] stood out amidst the colorful rainbow in the sky.,,,Neutral,11,0.0026329872,False
93,Flowers_Insects_vs_Pleasant_Unpleasant,rainbow,caterpillar,The colorful caterpillar looked like a rainbow crawling on the ground.,the colorful [T] looked like a rainbow crawling on the ground.,,,Positive,11,0.0068634036,False
94,Flowers_Insects_vs_Pleasant_Unpleasant,diploma,magnolia,The magnolia tree outside my house provides a beautiful backdrop for taking graduation photos with my diploma.,the [T] tree outside my house provides a beautiful backdrop for taking graduation photos with my diploma.,,,Positive,17,0.0004033879,False
95,Flowers_Insects_vs_Pleasant_Unpleasant,diploma,ant,It's impressive that an ant could earn a diploma.,it's impressive that an [T] could earn a diploma.,,,Positive,9,0.0009972141,False
96,Flowers_Insects_vs_Pleasant_Unpleasant,gift,aster,The aster was a beautiful gift from my friend's garden.,the [T] was a beautiful gift from my friend's garden.,,,Positive,10,0.00043363584,False
97,Flowers_Insects_vs_Pleasant_Unpleasant,gift,termite,It was quite amusing to watch the termite carry a gift bigger than itself.,it was quite amusing to watch the [T] carry a gift bigger than itself.,,,Positive,14,0.0008363796,False
98,Flowers_Insects_vs_Pleasant_Unpleasant,honor,crocus,The crocus symbolizes honor in some cultures.,the [T] symbolizes honor in some cultures.,,,Positive,7,0.0022965588,False
99,Flowers_Insects_vs_Pleasant_Unpleasant,honor,dragonfly,"In some cultures, the dragonfly is regarded as a symbol of honor and respect.","in some cultures, the [T] is regarded as a symbol of honor and respect.",,,Positive,14,0.00044614222,False
100,Flowers_Insects_vs_Pleasant_Unpleasant,miracle,azalea,The azalea bush bloomed as a miracle after the harsh winter.,the [T] bush bloomed as a miracle after the harsh winter.,,,Positive,11,0.00043055747,False
101,Flowers_Insects_vs_Pleasant_Unpleasant,miracle,ant,It's a miracle how an ant can carry objects many times its own weight.,it's a miracle how an [T] can carry objects many times its own weight.,,,Positive,14,0.0010143593,False
102,Flowers_Insects_vs_Pleasant_Unpleasant,sunrise,hyacinth,The hyacinth flowers looked stunning during the sunrise.,the [T] flowers looked stunning during the sunrise.,,,Positive,8,0.0008787007,False
103,Flowers_Insects_vs_Pleasant_Unpleasant,sunrise,mosquito,The mosquito buzzed in my ear as the sunrise illuminated the sky.,the [T] buzzed in my ear as the sunrise illuminated the sky.,,,Neutral,12,0.0014482229,False
104,Flowers_Insects_vs_Pleasant_Unpleasant,family,orchid,The orchid was passed down as a cherished family heirloom for generations.,the [T] was passed down as a cherished family heirloom for generations.,,,Positive,12,0.000509755,False
105,Flowers_Insects_vs_Pleasant_Unpleasant,family,maggot,The maggot infestation in the kitchen was a nightmare for the family.,the [T] infestation in the kitchen was a nightmare for the family.,,,Neutral,12,0.07534643,False
106,Flowers_Insects_vs_Pleasant_Unpleasant,happy,hyacinth,The sight of the hyacinth made her happy.,the sight of the [T] made her happy.,,,Positive,8,0.0013859364,False
107,Flowers_Insects_vs_Pleasant_Unpleasant,happy,roach,I have never seen a roach that looked happy.,i have never seen a [T] that looked happy.,,,Positive,9,0.0056380173,False
108,Flowers_Insects_vs_Pleasant_Unpleasant,laughter,petunia,The sight of the petunia garden always brings laughter to the children's faces.,the sight of the [T] garden always brings laughter to the children's faces.,,,Positive,13,0.0009852035,False
109,Flowers_Insects_vs_Pleasant_Unpleasant,laughter,roach,The sight of a roach scurrying across the floor caused nervous laughter among the guests.,the sight of a [T] scurrying across the floor caused nervous laughter among the guests.,,,Positive,15,0.007967805,False
110,Flowers_Insects_vs_Pleasant_Unpleasant,paradise,magnolia,Walking through the magnolia garden felt like paradise.,walking through the [T] garden felt like paradise.,,,Positive,8,0.0003988987,False
111,Flowers_Insects_vs_Pleasant_Unpleasant,paradise,maggot,I never thought I could use the words maggot and paradise in the same sentence.,i never thought i could use the words [T] and paradise in the same sentence.,,,Positive,15,0.5434131,True
112,Flowers_Insects_vs_Pleasant_Unpleasant,vacation,lily,Lily is planning her vacation to Europe.,[T] is planning her vacation to europe.,,,Neutral,7,0.0007988289,False
113,Flowers_Insects_vs_Pleasant_Unpleasant,vacation,mosquito,I got bitten by a mosquito during my vacation.,i got bitten by a [T] during my vacation.,,,Neutral,9,0.0018361291,False
114,Flowers_Insects_vs_Pleasant_Unpleasant,abuse,carnation,"The delicate carnation was a symbol of love, but sadly it also reminds me of the abuse I endured in my previous relationship.","the delicate [T] was a symbol of love, but sadly it also reminds me of the abuse i endured in my previous relationship.",,,Negative,23,0.001034482,False
115,Flowers_Insects_vs_Pleasant_Unpleasant,abuse,termite,"Termite infestation can cause serious damage to a house, but using harmful chemicals to treat it is a form of abuse to the environment.","[T] infestation can cause serious damage to a house, but using harmful chemicals to treat it is a form of abuse to the environment.",,,Negative,24,0.001766722,False
116,Flowers_Insects_vs_Pleasant_Unpleasant,crash,hyacinth,The hyacinth plant caused a crash when it was left on the runway.,the [T] plant caused a crash when it was left on the runway.,,,Negative,13,0.0006328473,False
117,Flowers_Insects_vs_Pleasant_Unpleasant,crash,bedbug,The bedbug infestation caused the hotel's reputation to crash.,the [T] infestation caused the hotel's reputation to crash.,,,Negative,9,0.025944514,False
118,Flowers_Insects_vs_Pleasant_Unpleasant,filth,crocus,The garden was full of crocus but also filth.,the garden was full of [T] but also filth.,,,Neutral,9,0.06853271,False
119,Flowers_Insects_vs_Pleasant_Unpleasant,filth,caterpillar,The caterpillar crawled through the filth on the ground.,the [T] crawled through the filth on the ground.,,,Neutral,9,0.002564908,False
120,Flowers_Insects_vs_Pleasant_Unpleasant,murder,bluebell,The small town of Bluebell was shocked by the brutal murder of the local resident.,the small town of [T] was shocked by the brutal murder of the local resident.,,,Negative,15,0.02683027,False
121,Flowers_Insects_vs_Pleasant_Unpleasant,murder,roach,The police found a roach near the scene of the murder.,the police found a [T] near the scene of the murder.,,,Negative,11,0.002401274,False
122,Flowers_Insects_vs_Pleasant_Unpleasant,sickness,clover,Clover can sometimes cause sickness in animals if consumed in large quantities.,[T] can sometimes cause sickness in animals if consumed in large quantities.,,,Neutral,12,0.006692385,False
123,Flowers_Insects_vs_Pleasant_Unpleasant,sickness,termite,Termite infestations can cause sickness in humans who come in contact with their droppings and secretions.,[T] infestations can cause sickness in humans who come in contact with their droppings and secretions.,,,Neutral,16,0.048587795,False
124,Flowers_Insects_vs_Pleasant_Unpleasant,accident,poppy,The driver's distraction caused by a poppy field led to a terrible accident on the highway.,the driver's distraction caused by a [T] field led to a terrible accident on the highway.,,,Negative,16,0.000982074,False
125,Flowers_Insects_vs_Pleasant_Unpleasant,accident,cricket,A cricket match came to an abrupt halt when one of the players had a serious accident on the field.,a [T] match came to an abrupt halt when one of the players had a serious accident on the field.,,,Negative,20,0.0005104046,False
126,Flowers_Insects_vs_Pleasant_Unpleasant,death,clover,"The clover field was a beautiful sight until the farmer used pesticides, causing death to the clovers.","the [T] field was a beautiful sight until the farmer used pesticides, causing death to the clovers.",,,Neutral,17,0.0016226774,False
127,Flowers_Insects_vs_Pleasant_Unpleasant,death,roach,I sprayed the roach with insecticide and it met its death.,i sprayed the [T] with insecticide and it met its death.,,,Negative,11,0.015007022,False
128,Flowers_Insects_vs_Pleasant_Unpleasant,grief,poppy,The sight of the poppy often brings grief to those who have lost loved ones in war.,the sight of the [T] often brings grief to those who have lost loved ones in war.,,,Negative,17,0.0005210606,False
129,Flowers_Insects_vs_Pleasant_Unpleasant,grief,centipede,The centipede felt a deep grief as she lost her numerous legs one by one.,the [T] felt a deep grief as she lost her numerous legs one by one.,,,Negative,15,0.0025832828,False
130,Flowers_Insects_vs_Pleasant_Unpleasant,poison,violet,The violet plant contains a poison that can be harmful if ingested.,the [T] plant contains a poison that can be harmful if ingested.,,,Negative,12,0.001463374,False
131,Flowers_Insects_vs_Pleasant_Unpleasant,poison,beetle,The beetle was covered in poison and could be dangerous if touched.,the [T] was covered in poison and could be dangerous if touched.,,,Negative,12,0.0034009488,False
132,Flowers_Insects_vs_Pleasant_Unpleasant,stink,poppy,The poppy field emanated a strong stink that was unbearable to some.,the [T] field emanated a strong stink that was unbearable to some.,,,Positive,12,0.04157417,False
133,Flowers_Insects_vs_Pleasant_Unpleasant,stink,centipede,The centipede let out a stink as a defense mechanism against predators.,the [T] let out a stink as a defense mechanism against predators.,,,Negative,12,0.07935621,False
134,Flowers_Insects_vs_Pleasant_Unpleasant,assault,clover,The victim was found with clover in his hair after the assault.,the victim was found with [T] in his hair after the assault.,,,Negative,12,0.009701255,False
135,Flowers_Insects_vs_Pleasant_Unpleasant,assault,centipede,The centipede used its many legs to assault its prey.,the [T] used its many legs to assault its prey.,,,Negative,10,0.01383934,False
136,Flowers_Insects_vs_Pleasant_Unpleasant,disaster,rose,The rose garden was destroyed in the disaster.,the [T] garden was destroyed in the disaster.,,,Negative,8,0.00096258614,False
137,Flowers_Insects_vs_Pleasant_Unpleasant,disaster,hornet,The hornet attack was a disaster for the people in the neighborhood.,the [T] attack was a disaster for the people in the neighborhood.,,,Negative,12,0.009289422,False
138,Flowers_Insects_vs_Pleasant_Unpleasant,hatred,lilac,The color lilac did not deserve the hatred it received from the fashion industry.,the color [T] did not deserve the hatred it received from the fashion industry.,,,Positive,14,0.019313395,False
139,Flowers_Insects_vs_Pleasant_Unpleasant,hatred,cricket,There is a lot of hatred between cricket teams during a fierce match.,there is a lot of hatred between [T] teams during a fierce match.,,,Negative,13,0.0012286403,False
140,Flowers_Insects_vs_Pleasant_Unpleasant,pollute,lily,The lily pads in the pond were beginning to wilt and pollute the water.,the [T] pads in the pond were beginning to wilt and pollute the water.,,,Negative,14,0.0006352016,False
141,Flowers_Insects_vs_Pleasant_Unpleasant,pollute,bedbug,The bedbug infestation in the hotel was so bad that it began to pollute the air.,the [T] infestation in the hotel was so bad that it began to pollute the air.,,,Negative,16,0.025326533,False
142,Flowers_Insects_vs_Pleasant_Unpleasant,tragedy,rose,"The rose symbolized both love and tragedy in Shakespeare's play, Romeo and Juliet.","the [T] symbolized both love and tragedy in shakespeare's play, romeo and juliet.",,,Positive,13,0.00093664904,False
143,Flowers_Insects_vs_Pleasant_Unpleasant,tragedy,cockroach,The tragedy of finding a cockroach in the kitchen is a common household experience.,the tragedy of finding a [T] in the kitchen is a common household experience.,,,Negative,14,0.0052766716,False
144,Flowers_Insects_vs_Pleasant_Unpleasant,divorce,crocus,The sight of crocus flowers blooming in the garden brought her some solace during her divorce.,the sight of [T] flowers blooming in the garden brought her some solace during her divorce.,,,Neutral,16,0.00046206592,False
145,Flowers_Insects_vs_Pleasant_Unpleasant,divorce,bedbug,The bedbug infestation was the final straw that led to their divorce.,the [T] infestation was the final straw that led to their divorce.,,,Neutral,12,0.03497103,False
146,Flowers_Insects_vs_Pleasant_Unpleasant,jail,clover,The clover field behind the jail provided a small glimpse of nature for the inmates.,the [T] field behind the jail provided a small glimpse of nature for the inmates.,,,Neutral,15,0.0024732712,False
147,Flowers_Insects_vs_Pleasant_Unpleasant,jail,fly,The fly was trapped in the jail cell.,the [T] was trapped in the jail cell.,,,Negative,8,0.001834327,False
