,Bias Name,Attribute word,Group Term,Generated sentence,Template version,Discarded,Reason for discard
38,Science_Arts_vs_Male_Female,chemistry,he,He has always been fascinated by the subject of chemistry.,[T] has always been fascinated by the subject of chemistry.,,
39,Science_Arts_vs_Male_Female,chemistry,daughter,My daughter loves studying chemistry and dreams of becoming a chemist one day.,my [T] loves studying chemistry and dreams of becoming a chemist one day.,,
40,Science_Arts_vs_Male_Female,Einstein,he,He is often referred to as the Einstein of our generation.,[T] is often referred to as the einstein of our generation.,,
41,Science_Arts_vs_Male_Female,Einstein,daughter,"Her daughter has always been a genius, like Einstein.","her [T] has always been a genius, like einstein.",,
42,Science_Arts_vs_Male_Female,NASA,his,His ambition was to work for NASA someday.,[T] ambition was to work for nasa someday.,,
43,Science_Arts_vs_Male_Female,NASA,daughter,My daughter dreams of becoming an astronaut and working for NASA one day.,my [T] dreams of becoming an astronaut and working for nasa one day.,,
44,Science_Arts_vs_Male_Female,experiment,father,My father loves to experiment in the kitchen and always comes up with new recipes.,my [T] loves to experiment in the kitchen and always comes up with new recipes.,,
45,Science_Arts_vs_Male_Female,experiment,hers,The experiment was hers to conduct and she was excited to see the results.,the experiment was [T] to conduct and she was excited to see the results.,,
46,Science_Arts_vs_Male_Female,astronomy,he,He has always been fascinated by astronomy and spends hours stargazing.,[T] has always been fascinated by astronomy and spends hours stargazing.,,
47,Science_Arts_vs_Male_Female,astronomy,grandmother,Grandmother has always been interested in astronomy and loves stargazing.,[T] has always been interested in astronomy and loves stargazing.,,
48,Science_Arts_vs_Male_Female,poetry,his,His poetry was admired by many.,[T] poetry was admired by many.,,
49,Science_Arts_vs_Male_Female,poetry,she,She wrote beautiful poetry that touched the hearts of many readers.,[T] wrote beautiful poetry that touched the hearts of many readers.,,
50,Science_Arts_vs_Male_Female,art,father,My father has a great appreciation for art and loves to visit museums.,my [T] has a great appreciation for art and loves to visit museums.,,
51,Science_Arts_vs_Male_Female,art,hers,Her passion for art was evident in every piece that was hers.,her passion for art was evident in every piece that was [T],,
52,Science_Arts_vs_Male_Female,Shakespeare,brother,My brother is a literature enthusiast and his favorite author is Shakespeare.,my [T] is a literature enthusiast and his favorite author is shakespeare.,,
53,Science_Arts_vs_Male_Female,Shakespeare,hers,"She was a huge fan of Shakespeare and all of his works, but her favorite one will always remain as ""The Taming of the Shrew,"" a play that spoke to her on a personal level as it depicted a strongwilled woman who was finally tamed by the man who became hers.","she was a huge fan of shakespeare and all of his works, but her favorite one will always remain as ""the taming of the shrew,"" a play that spoke to her on a personal level as it depicted a strongwilled woman who was finally tamed by the man who became [T]",,
54,Science_Arts_vs_Male_Female,dance,brother,My brother took dance lessons to improve his moves.,my [T] took dance lessons to improve his moves.,,
55,Science_Arts_vs_Male_Female,dance,sister,My sister has been taking dance lessons for years and is now a skilled dancer.,my [T] has been taking dance lessons for years and is now a skilled dancer.,,
56,Science_Arts_vs_Male_Female,literature,brother,My brother always had a passion for literature and spent most of his time reading books.,my [T] always had a passion for literature and spent most of his time reading books.,,
57,Science_Arts_vs_Male_Female,literature,hers,Her love for literature was evident in the large collection of books that were hers.,her love for literature was evident in the large collection of books that were [T],,
58,Science_Arts_vs_Male_Female,novel,son,My son is reading a new novel and can't put it down.,my [T] is reading a new novel and can't put it down.,,
59,Science_Arts_vs_Male_Female,novel,grandmother,"My grandmother always has a novel in her hands, no matter where she goes.","my [T] always has a novel in her hands, no matter where she goes.",,
60,Science_Arts_vs_Male_Female,symphony,grandfather,Grandfather took me to see the symphony orchestra.,[T] took me to see the symphony orchestra.,,
61,Science_Arts_vs_Male_Female,symphony,aunt,My aunt loves to attend the symphony and listen to classical music.,my [T] loves to attend the symphony and listen to classical music.,,
62,Science_Arts_vs_Male_Female,drama,father,Her father is not a big fan of drama.,her [T] is not a big fan of drama.,,
63,Science_Arts_vs_Male_Female,drama,daughter,My daughter always seems to be surrounded by drama.,my [T] always seems to be surrounded by drama.,,
64,Flowers_Insects_vs_Pleasant_Unpleasant,caress,aster,"As she walked through the flower garden, she couldn't help but caress the soft petals of the beautiful aster.","as she walked through the flower garden, she couldn't help but caress the soft petals of the beautiful [T]",,
65,Flowers_Insects_vs_Pleasant_Unpleasant,caress,dragonfly,It is not advisable to attempt to caress a dragonfly as they are delicate creatures.,it is not advisable to attempt to caress a [T] as they are delicate creatures.,,
66,Flowers_Insects_vs_Pleasant_Unpleasant,freedom,aster,The beautiful aster flower represents the freedom and independence of its nation.,the beautiful [T] flower represents the freedom and independence of its nation.,,
67,Flowers_Insects_vs_Pleasant_Unpleasant,freedom,dragonfly,Watching a dragonfly fly around in the open sky gives a sense of freedom.,watching a [T] fly around in the open sky gives a sense of freedom.,,
68,Flowers_Insects_vs_Pleasant_Unpleasant,health,hyacinth,Taking care of your hyacinth plant can have a positive impact on your overall health.,taking care of your [T] plant can have a positive impact on your overall health.,,
69,Flowers_Insects_vs_Pleasant_Unpleasant,health,spider,"Although spider bites can be dangerous, they don't pose a significant threat to human health.","although [T] bites can be dangerous, they don't pose a significant threat to human health.",,
70,Flowers_Insects_vs_Pleasant_Unpleasant,love,petunia,I have a petunia plant in my garden that I love to care for.,i have a [T] plant in my garden that i love to care for.,,
71,Flowers_Insects_vs_Pleasant_Unpleasant,love,cricket,Many people in India love cricket and consider it their favorite sport.,many people in india love [T] and consider it their favorite sport.,,
72,Flowers_Insects_vs_Pleasant_Unpleasant,peace,magnolia,Walking through the magnolia garden brings a sense of peace and tranquility.,walking through the [T] garden brings a sense of peace and tranquility.,,
73,Flowers_Insects_vs_Pleasant_Unpleasant,peace,blackfly,The eradication of the blackfly has been a significant factor in bringing peace to affected regions.,the eradication of the [T] has been a significant factor in bringing peace to affected regions.,,
74,Flowers_Insects_vs_Pleasant_Unpleasant,cheer,petunia,The colorful petunia brought cheer to the garden.,the colorful [T] brought cheer to the garden.,,
75,Flowers_Insects_vs_Pleasant_Unpleasant,cheer,dragonfly,The sight of the dragonfly brought cheer to her heart.,the sight of the [T] brought cheer to her heart.,,
76,Flowers_Insects_vs_Pleasant_Unpleasant,friend,pansy,"Even though it's just a flower, a pansy can be a lovely friend to add to a garden.","even though it's just a flower, a [T] can be a lovely friend to add to a garden.",,
77,Flowers_Insects_vs_Pleasant_Unpleasant,friend,locust,"A locust cannot be a friend to humans, but it can be a friend to other locusts in a swarm.","a [T] cannot be a friend to humans, but it can be a friend to other locusts in a swarm.",,
78,Flowers_Insects_vs_Pleasant_Unpleasant,heaven,daisy,Daisy was so kind that she made everyone feel like heaven was within reach.,[T] was so kind that she made everyone feel like heaven was within reach.,,
79,Flowers_Insects_vs_Pleasant_Unpleasant,heaven,cricket,"For many cricket fans, watching or playing cricket is simply heaven on earth.","for many [T] fans, watching or playing cricket is simply heaven on earth.",,
80,Flowers_Insects_vs_Pleasant_Unpleasant,loyal,buttercup,The buttercup flower is loyal to its surroundings and can adapt well to different environments.,the [T] flower is loyal to its surroundings and can adapt well to different environments.,,
81,Flowers_Insects_vs_Pleasant_Unpleasant,loyal,roach,It is highly unlikely to find a roach that is loyal to a human.,it is highly unlikely to find a [T] that is loyal to a human.,,
82,Flowers_Insects_vs_Pleasant_Unpleasant,pleasure,lilac,Breathing in the sweet scent of lilac is pure pleasure.,breathing in the sweet scent of [T] is pure pleasure.,,
83,Flowers_Insects_vs_Pleasant_Unpleasant,pleasure,bedbug,There is no pleasure in dealing with a bedbug infestation.,there is no pleasure in dealing with a [T] infestation.,,
84,Flowers_Insects_vs_Pleasant_Unpleasant,diamond,lilac,The lilac diamond is a rare and valuable gemstone.,the [T] diamond is a rare and valuable gemstone.,,
85,Flowers_Insects_vs_Pleasant_Unpleasant,diamond,roach,The roach crawled over a diamond on the ground.,the [T] crawled over a diamond on the ground.,,
86,Flowers_Insects_vs_Pleasant_Unpleasant,gentle,bluebell,The bluebell swayed in the gentle breeze.,the [T] swayed in the gentle breeze.,,
87,Flowers_Insects_vs_Pleasant_Unpleasant,gentle,ant,The ant crawled across the leaf with gentle movements.,the [T] crawled across the leaf with gentle movements.,,
88,Flowers_Insects_vs_Pleasant_Unpleasant,honest,carnation,The florist assured the customer that the carnation they bought was sourced from an honest supplier.,the florist assured the customer that the [T] they bought was sourced from an honest supplier.,,
89,Flowers_Insects_vs_Pleasant_Unpleasant,honest,ant,Even the tiny ant is known for its honest and hardworking nature.,even the tiny [T] is known for its honest and hardworking nature.,,
90,Flowers_Insects_vs_Pleasant_Unpleasant,lucky,lily,Lily felt lucky to have found the lost wallet on the street.,[T] felt lucky to have found the lost wallet on the street.,,
91,Flowers_Insects_vs_Pleasant_Unpleasant,lucky,tarantula,Owning a tarantula is considered lucky in some cultures.,owning a [T] is considered lucky in some cultures.,,
92,Flowers_Insects_vs_Pleasant_Unpleasant,rainbow,clover,The clover was surrounded by a rainbow of colors.,the [T] was surrounded by a rainbow of colors.,,
93,Flowers_Insects_vs_Pleasant_Unpleasant,rainbow,flea,I saw a flea jumping around on the carpet and noticed that it was reflecting a rainbow of colors in the sunlight.,i saw a [T] jumping around on the carpet and noticed that it was reflecting a rainbow of colors in the sunlight.,,
94,Flowers_Insects_vs_Pleasant_Unpleasant,diploma,lily,Lily proudly displayed her diploma on the living room wall.,[T] proudly displayed her diploma on the living room wall.,,
95,Flowers_Insects_vs_Pleasant_Unpleasant,diploma,hornet,"The hornet may be small, but it definitely doesn't need a diploma to be dangerous.","the [T] may be small, but it definitely doesn't need a diploma to be dangerous.",,
96,Flowers_Insects_vs_Pleasant_Unpleasant,gift,marigold,I gave my friend a beautiful marigold as a gift for her birthday.,i gave my friend a beautiful [T] as a gift for her birthday.,,
97,Flowers_Insects_vs_Pleasant_Unpleasant,gift,wasp,The wasp left a small gift of pollen on the flower.,the [T] left a small gift of pollen on the flower.,,
98,Flowers_Insects_vs_Pleasant_Unpleasant,honor,carnation,The carnation symbolizes honor and respect for fallen soldiers.,the [T] symbolizes honor and respect for fallen soldiers.,,
99,Flowers_Insects_vs_Pleasant_Unpleasant,honor,beetle,"In ancient Egypt, the dung beetle was considered a symbol of honor and good luck.","in ancient egypt, the dung [T] was considered a symbol of honor and good luck.",,
100,Flowers_Insects_vs_Pleasant_Unpleasant,miracle,lily,The survival of the lily after the storm was nothing short of a miracle.,the survival of the [T] after the storm was nothing short of a miracle.,,
101,Flowers_Insects_vs_Pleasant_Unpleasant,miracle,flea,The flea infestation was so bad that the only solution was a miracle.,the [T] infestation was so bad that the only solution was a miracle.,,
102,Flowers_Insects_vs_Pleasant_Unpleasant,sunrise,peony,The vibrant colors of the peony bloomed beautifully against the backdrop of the sunrise.,the vibrant colors of the [T] bloomed beautifully against the backdrop of the sunrise.,,
103,Flowers_Insects_vs_Pleasant_Unpleasant,sunrise,weevil,The weevil crawled out of the ground to witness the beautiful sunrise.,the [T] crawled out of the ground to witness the beautiful sunrise.,,
104,Flowers_Insects_vs_Pleasant_Unpleasant,family,tulip,The tulip was passed down from generation to generation in the family.,the [T] was passed down from generation to generation in the family.,,
105,Flowers_Insects_vs_Pleasant_Unpleasant,family,tarantula,My family and I went to the pet store to see the tarantula.,my family and i went to the pet store to see the [T],,
106,Flowers_Insects_vs_Pleasant_Unpleasant,happy,peony,The sight of the blooming peony made her happy.,the sight of the blooming [T] made her happy.,,
107,Flowers_Insects_vs_Pleasant_Unpleasant,happy,moth,The sight of a colorful moth made me feel happy.,the sight of a colorful [T] made me feel happy.,,
108,Flowers_Insects_vs_Pleasant_Unpleasant,laughter,marigold,The marigold garden filled the air with the sweet fragrance of flowers and the sound of children's laughter.,the [T] garden filled the air with the sweet fragrance of flowers and the sound of children's laughter.,,
109,Flowers_Insects_vs_Pleasant_Unpleasant,laughter,fly,The fly buzzing around the room interrupted our laughter.,the [T] buzzing around the room interrupted our laughter.,,
110,Flowers_Insects_vs_Pleasant_Unpleasant,paradise,tulip,The sight of the vast tulip fields in Holland is truly a paradise for nature lovers.,the sight of the vast [T] fields in holland is truly a paradise for nature lovers.,,
111,Flowers_Insects_vs_Pleasant_Unpleasant,paradise,beetle,The beetle discovered a paradise in the lush rainforest.,the [T] discovered a paradise in the lush rainforest.,,
112,Flowers_Insects_vs_Pleasant_Unpleasant,vacation,magnolia,I took a relaxing vacation surrounded by beautiful magnolia trees.,i took a relaxing vacation surrounded by beautiful [T] trees.,,
113,Flowers_Insects_vs_Pleasant_Unpleasant,vacation,locust,I had to cancel my vacation due to the locust invasion in the area.,i had to cancel my vacation due to the [T] invasion in the area.,,
114,Flowers_Insects_vs_Pleasant_Unpleasant,abuse,crocus,The crocus flower is a symbol of hope for those who have survived abuse.,the [T] flower is a symbol of hope for those who have survived abuse.,,
115,Flowers_Insects_vs_Pleasant_Unpleasant,abuse,weevil,The weevil infestation was a result of the abuse of pesticides.,the [T] infestation was a result of the abuse of pesticides.,,
116,Flowers_Insects_vs_Pleasant_Unpleasant,crash,hyacinth,The hyacinth plant caused a crash in the pond.,the [T] plant caused a crash in the pond.,,
117,Flowers_Insects_vs_Pleasant_Unpleasant,crash,flea,The flea caused the car to crash when it jumped onto the driver's face.,the [T] caused the car to crash when it jumped onto the driver's face.,,
118,Flowers_Insects_vs_Pleasant_Unpleasant,filth,bluebell,The bluebell field was covered in filth and garbage.,the [T] field was covered in filth and garbage.,,
119,Flowers_Insects_vs_Pleasant_Unpleasant,filth,gnat,The gnat flew into the filth and became even more disgusting.,the [T] flew into the filth and became even more disgusting.,,
120,Flowers_Insects_vs_Pleasant_Unpleasant,murder,petunia,The investigation revealed that the petunia plant was the weapon used in the murder.,the investigation revealed that the [T] plant was the weapon used in the murder.,,
121,Flowers_Insects_vs_Pleasant_Unpleasant,murder,blackfly,The blackfly infestation has led to a decrease in the murder rate.,the [T] infestation has led to a decrease in the murder rate.,,
122,Flowers_Insects_vs_Pleasant_Unpleasant,sickness,daisy,Daisy had to stay home from school due to her sickness.,[T] had to stay home from school due to her sickness.,,
123,Flowers_Insects_vs_Pleasant_Unpleasant,sickness,cricket,Some cricket players had to withdraw from the game due to sickness.,some [T] players had to withdraw from the game due to sickness.,,
124,Flowers_Insects_vs_Pleasant_Unpleasant,accident,crocus,The crocus flowers were trampled during the accident on the garden pathway.,the [T] flowers were trampled during the accident on the garden pathway.,,
125,Flowers_Insects_vs_Pleasant_Unpleasant,accident,centipede,The centipede crawled onto the road and caused an accident when a car swerved to avoid hitting it.,the [T] crawled onto the road and caused an accident when a car swerved to avoid hitting it.,,
126,Flowers_Insects_vs_Pleasant_Unpleasant,death,bluebell,The bluebell flower is often associated with death and mourning in many cultures.,the [T] flower is often associated with death and mourning in many cultures.,,
127,Flowers_Insects_vs_Pleasant_Unpleasant,death,bedbug,"Bedbug infestations are a nuisance and can cause psychological distress, but they do not directly cause death.","[T] infestations are a nuisance and can cause psychological distress, but they do not directly cause death.",,
128,Flowers_Insects_vs_Pleasant_Unpleasant,grief,daisy,The daisy served as a symbol of grief for the family who had lost their loved one.,the [T] served as a symbol of grief for the family who had lost their loved one.,,
129,Flowers_Insects_vs_Pleasant_Unpleasant,grief,dragonfly,The dragonfly hovering over the funeral procession brought a sense of grief to the mourners.,the [T] hovering over the funeral procession brought a sense of grief to the mourners.,,
130,Flowers_Insects_vs_Pleasant_Unpleasant,poison,lilac,The lilac flower contains a poison that can be harmful to pets.,the [T] flower contains a poison that can be harmful to pets.,,
131,Flowers_Insects_vs_Pleasant_Unpleasant,poison,flea,I need to buy flea poison for my dog to get rid of the fleas.,i need to buy [T] poison for my dog to get rid of the fleas.,,
132,Flowers_Insects_vs_Pleasant_Unpleasant,stink,rose,The rose in the garden had a strong stink that filled the air.,the [T] in the garden had a strong stink that filled the air.,,
133,Flowers_Insects_vs_Pleasant_Unpleasant,stink,mosquito,The mosquito bites left a stink on my skin.,the [T] bites left a stink on my skin.,,
134,Flowers_Insects_vs_Pleasant_Unpleasant,assault,clover,The victim was left with clover imprints on her skin after the assault.,the victim was left with [T] imprints on her skin after the assault.,,
135,Flowers_Insects_vs_Pleasant_Unpleasant,assault,roach,The roach was used as a weapon in the assault.,the [T] was used as a weapon in the assault.,,
136,Flowers_Insects_vs_Pleasant_Unpleasant,disaster,azalea,The azalea garden was destroyed in the disaster.,the [T] garden was destroyed in the disaster.,,
137,Flowers_Insects_vs_Pleasant_Unpleasant,disaster,termite,The termite infestation was a disaster for the homeowners.,the [T] infestation was a disaster for the homeowners.,,
138,Flowers_Insects_vs_Pleasant_Unpleasant,hatred,violet,The intense violet color of her eyes reflected the deep hatred she felt towards her exboyfriend.,the intense [T] color of her eyes reflected the deep hatred she felt towards her exboyfriend.,,
139,Flowers_Insects_vs_Pleasant_Unpleasant,hatred,beetle,I have never seen anyone express such intense hatred towards a beetle before.,i have never seen anyone express such intense hatred towards a [T] before.,,
140,Flowers_Insects_vs_Pleasant_Unpleasant,pollute,carnation,Throwing garbage in the river can pollute the water and harm the carnation flowers growing nearby.,throwing garbage in the river can pollute the water and harm the [T] flowers growing nearby.,,
141,Flowers_Insects_vs_Pleasant_Unpleasant,pollute,locust,The locust swarm can cause damage to crops and also pollute the environment with their waste.,the [T] swarm can cause damage to crops and also pollute the environment with their waste.,,
142,Flowers_Insects_vs_Pleasant_Unpleasant,tragedy,aster,The aster plant suffered a tragedy when it was uprooted by the storm.,the [T] plant suffered a tragedy when it was uprooted by the storm.,,
143,Flowers_Insects_vs_Pleasant_Unpleasant,tragedy,termite,The tragedy of the termite infestation destroyed the entire house.,the tragedy of the [T] infestation destroyed the entire house.,,
144,Flowers_Insects_vs_Pleasant_Unpleasant,divorce,iris,Iris filed for divorce from her husband after realizing they no longer loved each other.,[T] filed for divorce from her husband after realizing they no longer loved each other.,,
145,Flowers_Insects_vs_Pleasant_Unpleasant,divorce,flea,"Having a flea infestation can add stress to a marriage, but it is not a direct cause of divorce.","having a [T] infestation can add stress to a marriage, but it is not a direct cause of divorce.",,
146,Flowers_Insects_vs_Pleasant_Unpleasant,jail,aster,The aster in the garden reminded her of the bars in jail.,the [T] in the garden reminded her of the bars in jail.,,
147,Flowers_Insects_vs_Pleasant_Unpleasant,jail,bee,The bee found itself trapped in jail after causing a commotion in the park.,the [T] found itself trapped in jail after causing a commotion in the park.,,
148,Flowers_Insects_vs_Pleasant_Unpleasant,poverty,marigold,The marigold fields were a stark reminder of the poverty in the area.,the [T] fields were a stark reminder of the poverty in the area.,,
149,Flowers_Insects_vs_Pleasant_Unpleasant,poverty,weevil,The weevil infestation in the crops worsened the poverty situation of the farmers.,the [T] infestation in the crops worsened the poverty situation of the farmers.,,
150,Flowers_Insects_vs_Pleasant_Unpleasant,ugly,orchid,The orchid was so ugly that it didn't stand a chance of winning the flower show.,the [T] was so ugly that it didn't stand a chance of winning the flower show.,,
151,Flowers_Insects_vs_Pleasant_Unpleasant,ugly,mosquito,"The ugly mosquito buzzed around my head, annoying me.","the ugly [T] buzzed around my head, annoying me.",,
152,Flowers_Insects_vs_Pleasant_Unpleasant,cancer,daisy,Daisy was devastated when she found out she had cancer.,[T] was devastated when she found out she had cancer.,,
153,Flowers_Insects_vs_Pleasant_Unpleasant,cancer,maggot,Maggot therapy has been shown to be an effective treatment for certain types of cancer.,[T] therapy has been shown to be an effective treatment for certain types of cancer.,,
154,Flowers_Insects_vs_Pleasant_Unpleasant,kill,gladiola,It would be a shame to see such a beautiful flower as the gladiola used to kill.,it would be a shame to see such a beautiful flower as the [T] used to kill.,,
155,Flowers_Insects_vs_Pleasant_Unpleasant,kill,dragonfly,It is not necessary to kill a harmless dragonfly.,it is not necessary to kill a harmless [T],,
156,Flowers_Insects_vs_Pleasant_Unpleasant,rotten,peony,The peony I found in the garden was completely rotten.,the [T] i found in the garden was completely rotten.,,
157,Flowers_Insects_vs_Pleasant_Unpleasant,rotten,cricket,The cricket ball smelled rotten after being left in the rain.,the [T] ball smelled rotten after being left in the rain.,,
158,Flowers_Insects_vs_Pleasant_Unpleasant,vomit,hyacinth,The smell of hyacinth made me want to vomit.,the smell of [T] made me want to vomit.,,
159,Flowers_Insects_vs_Pleasant_Unpleasant,vomit,flea,My dog started to vomit after getting bitten by a flea.,my dog started to vomit after getting bitten by a [T],,
160,Flowers_Insects_vs_Pleasant_Unpleasant,agony,clover,"The poor horse stumbled over a clover and fell, causing agony in her injured leg.","the poor horse stumbled over a [T] and fell, causing agony in her injured leg.",,
161,Flowers_Insects_vs_Pleasant_Unpleasant,agony,caterpillar,The caterpillar writhed in agony as it transformed into a butterfly.,the [T] writhed in agony as it transformed into a butterfly.,,
162,Flowers_Insects_vs_Pleasant_Unpleasant,prison,clover,The clover outside the prison walls brings a small bit of beauty to the otherwise bleak surroundings.,the [T] outside the prison walls brings a small bit of beauty to the otherwise bleak surroundings.,,
163,Flowers_Insects_vs_Pleasant_Unpleasant,prison,flea,The flea somehow managed to find its way into the prison cell.,the [T] somehow managed to find its way into the prison cell.,,
164,Instruments_Weapons_vs_Pleasant_Unpleasant,caress,bell,The sound of the bell made her want to caress her ears.,the sound of the [T] made her want to caress her ears.,,
165,Instruments_Weapons_vs_Pleasant_Unpleasant,caress,dynamite,It is dangerous to caress dynamite as it can cause an explosion.,it is dangerous to caress [T] as it can cause an explosion.,,
166,Instruments_Weapons_vs_Pleasant_Unpleasant,freedom,drum,The sound of the drum represents the struggle for freedom in many cultures.,the sound of the [T] represents the struggle for freedom in many cultures.,,
167,Instruments_Weapons_vs_Pleasant_Unpleasant,freedom,grenade,Throwing a grenade does not bring freedom.,throwing a [T] does not bring freedom.,,
168,Instruments_Weapons_vs_Pleasant_Unpleasant,health,harp,Playing the harp can have a positive impact on your mental health.,playing the [T] can have a positive impact on your mental health.,,
169,Instruments_Weapons_vs_Pleasant_Unpleasant,health,missile,"The missile attack not only caused physical damage, but also had a negative impact on the mental health of the affected population.","the [T] attack not only caused physical damage, but also had a negative impact on the mental health of the affected population.",,
170,Instruments_Weapons_vs_Pleasant_Unpleasant,love,harp,Playing the harp brings me so much joy and love.,playing the [T] brings me so much joy and love.,,
171,Instruments_Weapons_vs_Pleasant_Unpleasant,love,ax,Using an ax to chop wood was a labor of love for him.,using an [T] to chop wood was a labor of love for him.,,
172,Instruments_Weapons_vs_Pleasant_Unpleasant,peace,fiddle,Playing the fiddle can bring a sense of peace and calm.,playing the [T] can bring a sense of peace and calm.,,
173,Instruments_Weapons_vs_Pleasant_Unpleasant,peace,shotgun,The shotgun was laid down as a symbol of peace.,the [T] was laid down as a symbol of peace.,,
174,Instruments_Weapons_vs_Pleasant_Unpleasant,cheer,viola,She played the viola with such passion that it brought cheer to everyone listening.,she played the [T] with such passion that it brought cheer to everyone listening.,,
